measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1990,16154780.5689,18106447.0899,14497127.0936
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Percent,1990,0.00660333404092,0.00748102924458,0.00584262140006
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,1990,175168624.76,201351267.46,150592623.989
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Percent,1990,0.0715946153497,0.0829272285342,0.0617423458556
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,1990,15662614.7384,25360401.9905,8797345.35958
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Percent,1990,0.00640296492024,0.0104385859277,0.00362148916781
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,1990,202365488.177,220607594.079,182794367.595
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Percent,1990,0.0827239865808,0.091770071481,0.0738178235223
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,1990,4868618.76358,7444877.38324,3012768.14659
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Percent,1990,0.00198003421194,0.00294044030493,0.00127787794662
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,1990,3111665.34464,4484988.06255,2057172.41548
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Percent,1990,0.00126583968493,0.00174669315825,0.00087544206281
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,1990,30239302.0867,34552629.5431,23939283.9434
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Percent,1990,0.0123584010315,0.0143369754148,0.00980355349077
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,1990,7918366.63344,10751175.7633,5206944.13392
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Percent,1990,0.00323509183079,0.00438761748585,0.00215960892907
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,1990,842727.298825,1167154.37593,611338.552205
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Percent,1990,0.000344438242491,0.000482709314892,0.000249373452857
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,1990,14651201.4396,28290150.323,6598013.9936
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Percent,1990,0.00598885182263,0.0118036784233,0.00268358128837
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,1990,24893619.7136,33445818.6833,14235302.5654
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Percent,1990,0.0101755452027,0.0137734650731,0.00570157553908
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,1990,76350833.5781,147358859.984,31267608.3472
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Percent,1990,0.031230571598,0.0606086828329,0.0129441459398
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,1990,1314931.65549,1509639.55106,1138740.20864
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Percent,1990,0.000537108561378,0.000609620850689,0.00047132999633
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,1990,60389328.6233,74912457.1651,46548151.9933
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Percent,1990,0.02468102517,0.0307686397373,0.0192393839631
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,1990,309815.642919,334826.64474,286332.770113
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Percent,1990,0.000126550502146,0.000134364525876,0.000118745686364
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,1990,2531476.39512,4202997.63025,1470226.33945
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Percent,1990,0.0010343148684,0.00172842192678,0.000602514384928
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal deaths aggravated by HIV/AIDS,Number,1990,36867.7617895,52535.6122304,21470.702461
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal deaths aggravated by HIV/AIDS,Percent,1990,1.50789320975e-05,2.16751881667e-05,8.80019217717e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal deaths aggravated by HIV/AIDS,Number,1992,57971.9524116,78959.4214082,36765.689372
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal deaths aggravated by HIV/AIDS,Percent,1992,2.36497075726e-05,3.27770799301e-05,1.45066614575e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Percent,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1990,23029.7282899,32328.4755761,15530.6206301
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Percent,1990,9.36520559077e-06,1.25142324692e-05,6.65998258472e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1990,7066898.40715,9252242.84298,4327975.95242
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Percent,1990,0.00288633692478,0.00375817355174,0.00178945988765
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Percent,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Percent,1991,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1991,26476.3308897,35118.1314349,18774.9829863
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Percent,1991,1.0733071874e-05,1.36429832908e-05,8.00748798349e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Percent,1990,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1990,50725.4004987,69196.9904351,35265.3386094
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Percent,1990,2.06322478886e-05,2.67047567872e-05,1.51307733669e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Number,1991,7952739.67889,10429250.2483,5488748.7854
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Encephalitis,Percent,1991,0.00324195673526,0.00427010710483,0.00220016658717
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Number,1991,772947.108321,1069595.78662,545244.700412
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diphtheria,Percent,1991,0.000314703717419,0.000429998402245,0.000218842752917
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Number,1991,13998941.9304,25837422.1585,6901980.71283
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Whooping cough,Percent,1991,0.00570366796555,0.0104018961091,0.00281427964521
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Number,1991,22459726.7887,28387162.0157,13184630.7214
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tetanus,Percent,1991,0.00914322584392,0.0115109651676,0.0053622257971
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Number,1991,73459679.8813,142856021.104,30274378.3198
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Measles,Percent,1991,0.0298794651216,0.0560109996093,0.0120496075701
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Number,1991,1303868.30235,1488923.66985,1141288.8916
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Varicella and herpes zoster,Percent,1991,0.000530746909125,0.00060376844846,0.000468020602128
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Number,1991,62179193.8454,74060950.1872,49480437.2137
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Malaria,Percent,1991,0.0253358833336,0.0307799727249,0.0206119473212
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Number,1991,302947.669966,325495.217132,279844.612984
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Chagas disease,Percent,1991,0.000123308605833,0.000130273790055,0.000116155480013
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Number,1991,2664240.59404,4053132.32853,1628299.54064
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leishmaniasis,Percent,1991,0.00108597868412,0.00170734300733,0.000671001529411
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1991,67293246.0768,72092637.9311,63633754.6531
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Percent,1991,0.0274063634347,0.0291438968182,0.0255523962671
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1991,20775269.6706,23418716.9269,18901433.4679
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Percent,1991,0.0084617962306,0.00944342718502,0.00753059332456
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Number,1991,171548301.646,200802229.303,148229220.4
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Diarrheal diseases,Percent,1991,0.0698794884226,0.0825362924731,0.0607335698009
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Number,1991,15630892.6523,25633538.6865,8621720.42458
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal infectious diseases,Percent,1991,0.00635970339693,0.0100568267022,0.0035338787757
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Number,1991,197538958.368,214291839.121,179853635.186
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lower respiratory infections,Percent,1991,0.0804655803294,0.0884731297155,0.0723901323815
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Number,1991,4913859.86701,7343574.5519,3132691.12127
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Upper respiratory infections,Percent,1991,0.00199206450925,0.00286439156502,0.00135856747769
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Number,1991,3132659.90693,4645882.9123,2078385.5793
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Otitis media,Percent,1991,0.00127009377031,0.00181330739641,0.000863522022086
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Number,1991,29996231.7184,34537305.2446,24084626.4012
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Meningitis,Percent,1991,0.0122241374957,0.0140367568978,0.00986576105202
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1992,1086691.15104,1650599.26101,580428.064813
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Percent,1992,0.000443460033656,0.000695650011904,0.000237662292008
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1992,2138891.3853,3448178.74575,1359873.55282
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Percent,1992,0.000868951121072,0.00136183314363,0.000572064262378
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1992,506909.552654,634671.429603,383884.795994
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Percent,1992,0.000206217115087,0.000249338770129,0.000160007159262
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1992,303795.378631,375107.369099,234697.139079
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Percent,1992,0.000123509823963,0.00014859588911,9.82236392725e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1992,1665590.07424,3061012.61731,743404.678882
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Percent,1992,0.000675406576187,0.00119822044618,0.000308249601952
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1992,1409209.87767,2227958.75577,782453.10584
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Percent,1992,0.000571878446709,0.000866205305779,0.000338285293217
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1992,234101.45459,305382.488292,158003.874381
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Percent,1992,9.50435025982e-05,0.00012009201351,6.72883622614e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1992,915163.314764,1419543.54501,309914.751076
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Percent,1992,0.000373495045681,0.000575460320592,0.000124006760917
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1992,533390.207693,1478617.7926,124670.837971
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Percent,1992,0.000217674922629,0.000605686820676,5.14899213128e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1992,2824119.11286,3669509.13827,1936082.43128
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Percent,1992,0.00115157374358,0.00154623415409,0.000795164466894
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1992,6372691.75987,9784771.67526,4159486.88343
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Percent,1992,0.00258824137028,0.00386865009723,0.00176093234592
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Number,1992,1399745.26559,2631158.15702,655772.723705
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Food-borne trematodiases,Percent,1992,0.000568638356021,0.00106898423481,0.000261661508974
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Number,1992,3314455.25139,4454692.89736,2598136.67517
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other neglected tropical diseases,Percent,1992,0.00134965183448,0.00179623645403,0.00105679625631
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal sepsis and other maternal infections,Number,1992,2063343.71283,2623873.10418,1615174.20719
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Maternal sepsis and other maternal infections,Percent,1992,0.000841726678516,0.00109429815005,0.000654087600706
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Number,1992,24767688.2749,30342444.8121,19647124.3885
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Neonatal sepsis and other neonatal infections,Percent,1992,0.010094146929,0.0126945163333,0.00794692969527
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1991,16519925.4313,24447925.1275,10275079.775
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Percent,1991,0.00672509807853,0.0101880341808,0.00427160557161
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1991,8988292.59677,9643828.84959,8216606.95384
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Percent,1991,0.00366103380211,0.00391803589778,0.00331740535371
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1991,23553.9307125,33630.2252549,15832.8206098
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Percent,1991,9.5461355419e-06,1.30667860378e-05,6.74847133269e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1991,6983740.76851,9175332.0076,4235747.97847
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Percent,1991,0.00284256422281,0.0037113954159,0.00177825422063
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Number,1993,1085113.80696,1754429.06783,561207.368543
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,African trypanosomiasis,Percent,1993,0.000439557479907,0.00070882722213,0.000227873997771
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Number,1993,2170217.1689,3515323.51973,1352462.48691
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Schistosomiasis,Percent,1993,0.000875147890673,0.00137733268184,0.000567255481886
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Number,1993,518210.42165,646172.715091,394266.61473
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cysticercosis,Percent,1993,0.000209276938845,0.000250962421078,0.000163176907073
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Number,1993,302537.051729,372858.660651,233159.111892
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Cystic echinococcosis,Percent,1993,0.000122099355561,0.000147678984896,9.71982587605e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Number,1993,1698582.03735,3117534.99358,758462.637531
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Lymphatic filariasis,Percent,1993,0.000683736340653,0.00121128605715,0.000312296941278
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Number,1993,1406768.92845,2217952.76197,782513.650182
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Onchocerciasis,Percent,1993,0.000566682644466,0.000852360771845,0.00033545342211
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Number,1993,237705.889649,310633.852927,159365.893472
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Trachoma,Percent,1993,9.57991880515e-05,0.00012114286634,6.76134980423e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Number,1993,1202825.19242,1660232.97415,432246.49711
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Dengue,Percent,1993,0.000487182712627,0.000677620280307,0.00017191812778
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Number,1993,542161.517008,1524104.03044,125410.649144
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Yellow fever,Percent,1993,0.000219644079651,0.000624521176587,5.19177193588e-05
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Number,1993,2780529.28633,3648064.11309,1908851.76276
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Rabies,Percent,1993,0.00112548912203,0.00151845022438,0.000780355703949
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Number,1993,5994045.14484,9155523.1586,4051992.28044
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Intestinal nematode infections,Percent,1993,0.00241664910487,0.00358904275755,0.00167644179717
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1994,16893378.6828,24579014.4609,10392126.1768
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Percent,1994,0.00670972408137,0.0101209382102,0.00429188742405
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1994,8963511.69407,9545163.63722,8296919.8107
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Percent,1994,0.00356254827017,0.0038387826367,0.00325687384332
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1994,25298.0307565,36091.1156005,17092.7597593
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Percent,1994,1.00010074467e-05,1.36915454949e-05,7.18907338714e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1994,6708069.09316,8293693.88488,4141081.68832
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Percent,1994,0.00266479739278,0.00341858214985,0.00171755059114
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Number,1992,16592705.2792,24315768.9491,10109161.2066
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Sexually transmitted diseases excluding HIV,Percent,1992,0.00676122430268,0.0102260760407,0.00425333790655
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Number,1992,8956620.12157,9553722.05971,8298979.77125
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Hepatitis,Percent,1992,0.00365179934029,0.00391325761475,0.00331963137787
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Number,1992,24056.827292,34738.8916677,16157.9182984
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Leprosy,Percent,1992,9.75816426874e-06,1.3564595489e-05,6.91002908725e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Number,1992,6890338.77893,8991841.8714,4212204.20362
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Other infectious diseases,Percent,1992,0.0028076889991,0.00366775166618,0.00176651107036
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Ebola,Percent,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Number,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Zika virus,Percent,1992,0.0,0.0,0.0
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Number,1992,14939.3036608,19895.6672162,10564.7116105
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Guinea worm disease,Percent,1992,6.06137151317e-06,7.69500266845e-06,4.52383334482e-06
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Number,1994,66069744.3878,69984546.1609,62623310.1986
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,Tuberculosis,Percent,1994,0.0262562550351,0.0279257915712,0.0245289908002
DALYs (Disability-Adjusted Life Years),Global,Both,All Ages,HIV/AIDS,Number,1994,39171746.8121,43174839.9453,36311968.3881
